Course Data file,,,2019 August,,,,,
This file contains the data of coursera courses,,,,,,,,
s no,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,num_students,usa_students,course_length
268,Gamification,University of Pennsylvania,COURSE,4.8,Mixed,110000,,55
269,Behavioral Finance,Duke University,COURSE,4.4,Mixed,55000,,19
270,Introductory Human Physiology,Duke University,COURSE,4.7,Mixed,270000,,16
271,Learn English: Advanced Grammar and Punctuation,"University of California, Irvine",SPECIALIZATION,4.8,Advanced,52000,,211
272,The Power of Macroeconomics: Economic Principles in the Real World,"University of California, Irvine",COURSE,4.6,Mixed,180000,,78
273,Content Strategy for Professionals,Northwestern University,SPECIALIZATION,4.5,Beginner,27000,10260,276
274,The Global Financial Crisis,Yale University,COURSE,4.8,Mixed,84000,,67
275,Clinical Terminology for International and U.S. Students,University of Pittsburgh,COURSE,4.8,Beginner,32000,,23
276,Coaching Skills for Managers,"University of California, Davis",SPECIALIZATION,4.7,Intermediate,37000,6290,285
277,Data Analysis with Python,IBM,COURSE,4.7,Beginner,110000,26400,58
278,Everyday Parenting: The ABCs of Child Rearing,Yale University,COURSE,4.9,Beginner,86000,27520,38
279,Python Basics,University of Michigan,COURSE,4.8,Beginner,110000,31900,76
280,International Law in Action: the Arbitration of International Disputes,Universiteit Leiden,COURSE,4.8,Mixed,19000,,53
281,AWS Fundamentals: Going Cloud-Native,Amazon Web Services,COURSE,4.7,Beginner,110000,,79
282,The Manager's Toolkit: A Practical Guide to Managing People at Work,,COURSE,4.6,Mixed,47000,,70
283,AI for Medical Prognosis,deeplearning.ai,COURSE,4.6,Intermediate,4000,,23
284,Project Launch,"University of California, Irvine",COURSE,4.7,Beginner,190000,,73
285,Sequence Models,deeplearning.ai,COURSE,4.8,Intermediate,14000,,28
286,"GIS, Mapping, and Spatial Analysis",University of Toronto,SPECIALIZATION,4.8,Beginner,140000,,205
