Course Data file,,,2019 August,,,,,
This file contains the data of coursera courses,,,,,,,,
s no,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,num_students,usa_students,course_length
857,Fundamentos Estratégicos Empresariales,Universidad Nacional Autónoma de México,SPECIALIZATION,4.6,Beginner,56000,10080,190
858,¿Qué hacen los buenos directivos? Prioridades de la Alta Dirección,IESE Business School,COURSE,4.7,Beginner,25000,,17
859,Software Processes and Agile Practices,University of Alberta,COURSE,4.7,Mixed,60000,16800,58
860,Scaling Operations: Linking Strategy and Execution,Northwestern University,COURSE,4.5,Mixed,12000,,79
861,AWS Fundamentals: Building Serverless Applications,Amazon Web Services,COURSE,4.7,Beginner,27000,9180,16
862,Introduction to Big Data,University of California San Diego,COURSE,4.6,Mixed,160000,,42
863,Front-End Web Development with React,The Hong Kong University of Science and Technology,COURSE,4.7,Intermediate,45000,,43
864,The Economics of Health Care Delivery,University of Pennsylvania,COURSE,4.8,Mixed,7200,2376,11
865,Unity Certified Programmer Exam Preparation,Unity,SPECIALIZATION,4.5,Intermediate,6100,1952,138
866,Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,COURSE,4.9,Beginner,120000,44400,53
867,Osteoarchaeology: The Truth in Our Bones,Universiteit Leiden,COURSE,4.7,Beginner,22000,,80
868,Requirements Engineering: Secure Software  Specifications,University of Colorado System,SPECIALIZATION,4.6,Beginner,7200,,282
869,Python Classes and Inheritance,University of Michigan,COURSE,4.7,Intermediate,21000,3570,59
870,Electric Industry Operations and Markets,Duke University,COURSE,4.8,Beginner,12000,,16
871,Data and Health Indicators in Public Health Practice,Johns Hopkins University,COURSE,4.7,Beginner,18000,,52
872,Particle Physics: an Introduction,University of Geneva,COURSE,4.5,Mixed,42000,,46
873,Mathematics for Machine Learning: PCA,,COURSE,4,Intermediate,,0,54
874,A Crash Course in Data Science,Johns Hopkins University,COURSE,4.5,Mixed,130000,,23
875,Русский как иностранный,Saint Petersburg State University,SPECIALIZATION,4.6,Intermediate,9800,3822,157
876,Research Data Management and Sharing,The University of Edinburgh,COURSE,4.6,Mixed,16000,4960,50
877,Aspectos básicos de la planificación y la gestión de proyectos,University of Virginia,COURSE,4.9,Beginner,10000,,42
878,Introduction to Genomic Technologies,Johns Hopkins University,COURSE,4.6,Mixed,42000,,14
879,Introduction to Chemistry:  Reactions and Ratios,Duke University,COURSE,4.8,Beginner,46000,10580,72
880,Explorando la Energía Sustentable,Pontificia Universidad Católica de Chile,COURSE,4.8,Beginner,28000,,45
881,Evaluación educativa,Universidad Nacional Autónoma de México,SPECIALIZATION,4.8,Beginner,13000,1950,211
882,University Teaching,The University of Hong Kong,COURSE,4.8,Beginner,9500,1235,50
883,Психолингвистика (Psycholinguistics),Saint Petersburg State University,COURSE,4.8,Mixed,21000,7140,59
884,Building Resilient Streaming Analytics Systems on GCP,Google Cloud,COURSE,4.6,Intermediate,5800,,46
885,Autodesk CAD/CAM for Manufacturing,Autodesk,SPECIALIZATION,4.8,Intermediate,7300,,257
886,Understanding Modern Finance,American Institute of Business and Economics,SPECIALIZATION,4.4,Intermediate,11000,,272
887,Object-Oriented Design,University of Alberta,COURSE,4.7,Intermediate,33000,4290,25
888,Aprende a programar con Python,Universidad Austral,SPECIALIZATION,4.2,Beginner,6600,,310
889,Погружение в Python,Moscow Institute of Physics and Technology,COURSE,4.7,Intermediate,45000,,69
890,Compassionate Leadership Through Service Learning with Jane Goodall and Roots & Shoots,University of Colorado Boulder,COURSE,4.9,Beginner,6400,,76
